,0
0,Arkansas
1,Colorado
2,Delaware
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Mississippi
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,New Mexico
22,North Carolina
23,North Dakota
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
